Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"org.apache.tools.ant.taskdefs.ExecuteOn.setRelative",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,0,,,,3,,,1,1,7,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteOn.setSkipEmptyFilesets",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,0,,,,3,,,1,1,6,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteOn.setType",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,3,,,1,1,4,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteOn.setVerbose",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,0,,,,3,,,1,1,7,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.33,1,1,1,1
Protected Method,"org.apache.tools.ant.taskdefs.ExecuteOn.setupRedirector",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,4,,,1,2,3,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.75,1,1,1,1
Public Interface,"org.apache.tools.ant.taskdefs.ExecuteStreamHandler",0,0,0,0,0,0,0,0,0,0,0,5,,0,0,,,,5,0,5,5,5,0,0,0,,38,,,,5,,,,7,,,6,0,26,,,,,,,5,6,6,,,0,,,,,,,,0,0,0,0,,0,0,,0,0,3.71,0,0,0,0
Abstract Method,"org.apache.tools.ant.taskdefs.ExecuteStreamHandler.setProcessErrorStream",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,1,,,1,0,6,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,6.00,0,0,0,0
Abstract Method,"org.apache.tools.ant.taskdefs.ExecuteStreamHandler.setProcessInputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,1,,,1,0,7,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,7.00,0,0,0,0
Abstract Method,"org.apache.tools.ant.taskdefs.ExecuteStreamHandler.setProcessOutputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,1,,,1,0,6,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,6.00,0,0,0,0
Abstract Method,"org.apache.tools.ant.taskdefs.ExecuteStreamHandler.start",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,0,,,,1,,,1,0,4,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,4.00,0,0,0,0
Abstract Method,"org.apache.tools.ant.taskdefs.ExecuteStreamHandler.stop",,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,,0,,,,1,,,1,0,3,,,,0,0,0,1,1,1,,,0,,,0,0,0,0,0,,,,,0,,0,0,,,3.00,0,0,0,0
Public Class,"org.apache.tools.ant.taskdefs.ExecuteWatchdog",1,1,1,1,12,0,6,5,2,2,2,0,,0,0,,,,9,5,9,9,0,0,1,8,,152,,,,15,,,,63,,,15,35,74,,,,,,,27,43,15,,,28,,,,,,,,4,4,4,1,,1,3,,64,57,1.17,15,15,15,9
Public Constructor,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.ExecuteWatchdog",,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,,,,0,,,,4,,,1,2,6,,,,4,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,1.50,1,1,1,1
Public Constructor,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.ExecuteWatchdog",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,0,,,,3,,,1,1,7,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.checkException",,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,,0,,,,6,,,1,3,8,,,,1,2,0,1,3,1,,,2,,,2,2,2,1,0,,,,,0,,1,0,,,1.33,2,2,2,1
Protected Method,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.cleanUp",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,4,,,1,2,3,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,0.75,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.isWatching",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.killedProcess",,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.start",,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,,,,0,,,,13,,,1,9,6,,,,5,4,1,7,10,1,,,9,,,3,3,3,1,0,,,,,0,,1,0,,,0.46,3,3,3,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.stop",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,4,,,1,2,4,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,1.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.ExecuteWatchdog.timeoutOccured",,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,,,,0,,,,16,,,1,11,9,,,,5,4,1,5,9,1,,,8,,,4,4,4,1,2,,,,,0,,3,0,,,0.56,4,4,4,1
Public Class,"org.apache.tools.ant.taskdefs.Exit",1,1,2,1,11,0,6,5,1,6,6,0,,0,0,,,,13,5,13,52,0,4,0,9,,207,,,,18,,,,99,,,24,52,90,,,,,,,34,61,23,,,38,,,,,,,,10,10,16,1,,3,4,,75,70,0.91,25,25,34,13
Private Static Class,"org.apache.tools.ant.taskdefs.Exit.NestedCondition",2,2,2,1,7,0,7,0,2,1,1,0,,0,0,,,,1,0,1,35,0,0,0,1,,9,,,,0,,,,9,,,2,4,0,,,,,,,2,5,2,,,3,,,,,,,,2,2,2,1,,3,1,,0,0,0.00,2,2,2,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.NestedCondition.eval",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,7,,,1,4,0,,,,6,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.00,2,2,2,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.addText",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,0,,,,6,,,1,3,4,,,,3,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,0.67,2,2,2,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.createCondition",,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,,0,,,,7,,,1,4,5,,,,3,2,0,3,5,1,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.71,2,2,2,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,5,46,,,,0,,,,34,,,4,25,12,,,,11,20,1,11,19,3,,,16,,,10,10,16,1,3,,,,,0,,4,0,,,0.35,10,10,16,1
Private Method,"org.apache.tools.ant.taskdefs.Exit.nestedConditionPresent",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,3,,,1,1,4,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.setIf",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,0,,,,3,,,1,1,6,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.setIf",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.setMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.setStatus",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,3,,,1,1,4,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.setUnless",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,0,,,,3,,,1,1,6,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Exit.setUnless",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Private Method,"org.apache.tools.ant.taskdefs.Exit.testIfCondition",,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,4,,,1,2,4,,,,4,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.00,1,1,1,1
Private Method,"org.apache.tools.ant.taskdefs.Exit.testNestedCondition",,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,,,,2,,,,8,,,2,5,4,,,,4,2,0,3,5,2,,,3,,,2,2,5,1,0,,,,,0,,1,0,,,0.50,2,2,5,1
Private Method,"org.apache.tools.ant.taskdefs.Exit.testUnlessCondition",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,,,,0,,,,4,,,1,2,5,,,,4,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.25,1,1,1,1
Public Class,"org.apache.tools.ant.taskdefs.Expand",2,2,3,1,18,0,11,5,1,16,16,1,,0,4,,,,22,11,22,61,0,0,6,16,,464,,,,46,,,,280,,,73,192,140,,,,,,,125,184,71,,,113,,,,,,,,19,19,30,5,,3,5,,90,83,0.50,58,58,72,28
Public Method,"org.apache.tools.ant.taskdefs.Expand.add",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,,,,0,,,,4,,,1,2,5,,,,2,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,1.25,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.add",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.addFileset",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,3,,,1,1,4,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.addPatternset",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,0,,,,3,,,1,1,4,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.createMapper",,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,,,,0,,,,8,,,1,5,6,,,,6,2,0,3,5,1,,,4,,,2,2,2,1,0,,,,,0,,1,0,,,0.75,2,2,2,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,6,52,,,,5,,,,42,,,4,31,5,,,,18,400,3,15,27,4,,,23,,,12,12,14,3,5,,,,,3,,2,1,,,0.12,12,12,14,3
Protected Method,"org.apache.tools.ant.taskdefs.Expand.expandFile",,,,,,,,,,,,,,,,,,,,,,,,,,,10,48,,,,0,,,,41,,,7,34,7,,,,20,10,1,17,23,7,,,16,,,5,5,6,1,1,,,,,0,,3,0,,,0.17,5,5,6,1
Protected Method,"org.apache.tools.ant.taskdefs.Expand.expandResource",,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,,,0,,,,4,,,1,2,6,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.50,1,1,1,1
Protected Method,"org.apache.tools.ant.taskdefs.Expand.extractFile",,,,,,,,,,,,,,,,,,,,,,,,,,,20,136,,,,14,,,,107,,,26,82,15,,,,29,3432,4,52,70,24,,,46,,,19,19,30,5,6,,,,,5,,5,5,,,0.14,19,19,30,5
Public Method,"org.apache.tools.ant.taskdefs.Expand.getEncoding",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,0,,,,3,,,1,1,3,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.getFailOnEmptyArchive",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Protected Method,"org.apache.tools.ant.taskdefs.Expand.getMapper",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,,,,0,,,,9,,,2,6,4,,,,2,2,0,4,6,2,,,4,,,2,2,2,1,1,,,,,0,,1,0,,,0.44,2,2,2,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.getScanForUnicodeExtraFields",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,0,,,,3,,,1,1,3,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.00,1,1,1,1
Protected Method,"org.apache.tools.ant.taskdefs.Expand.internalSetEncoding",,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,,,,0,,,,6,,,1,3,7,,,,2,2,0,2,4,1,,,3,,,2,2,2,1,0,,,,,0,,1,0,,,1.17,2,2,2,1
Protected Method,"org.apache.tools.ant.taskdefs.Expand.internalSetScanForUnicodeExtraFields",,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,0,,,,3,,,1,1,7,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.setDest",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,0,,,,3,,,1,1,6,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.setEncoding",,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,,,,0,,,,3,,,1,1,8,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.setFailOnEmptyArchive",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.setOverwrite",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.setScanForUnicodeExtraFields",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.setSrc",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Expand.setStripAbsolutePathSpec",,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.67,1,1,1,1
Public Class,"org.apache.tools.ant.taskdefs.Filter",1,1,2,1,11,0,6,4,1,3,3,0,,0,0,,,,5,3,5,44,0,0,1,4,,75,,,,9,,,,35,,,13,15,31,,,,,,,13,22,11,,,11,,,,,,,,4,4,9,1,,3,1,,53,53,0.89,8,8,13,5
Public Method,"org.apache.tools.ant.taskdefs.Filter.execute",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,,,3,,,,17,,,5,10,4,,,,6,8,1,5,9,3,,,6,,,4,4,9,1,0,,,,,0,,1,0,,,0.24,4,4,9,1
Protected Method,"org.apache.tools.ant.taskdefs.Filter.readFilters",,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,0,,,,4,,,1,2,4,,,,4,1,0,2,3,1,,,2,,,1,1,1,1,0,,,,,0,,0,0,,,1.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Filter.setFiltersfile",,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,,,,0,,,,3,,,1,1,6,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,2.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Filter.setToken",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,3,,,1,1,4,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.33,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.Filter.setValue",,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,,0,,,,3,,,1,1,4,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.33,1,1,1,1
Public Class,"org.apache.tools.ant.taskdefs.FixCRLF",2,2,2,1,15,0,8,6,2,12,12,0,,0,3,,,,17,8,17,97,0,2,0,15,,654,,,,73,,,,366,,,102,222,218,,,,,,,157,239,97,,,142,,,,,,,,10,10,11,1,,4,3,,80,76,0.60,40,40,41,17
Public Static Class,"org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove",1,1,1,1,4,0,3,1,1,0,0,0,,0,0,,,,1,0,1,10,0,0,0,1,,9,,,,0,,,,5,,,2,1,4,,,,,,,1,3,2,,,1,,,,,,,,1,1,1,1,,2,0,,0,0,0.80,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.AddAsisRemove.getValues",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,,0,,,,3,,,1,1,1,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.33,1,1,1,1
Public Static Class,"org.apache.tools.ant.taskdefs.FixCRLF.CrLf",1,1,1,1,8,0,4,4,1,0,0,0,,0,0,,,,1,0,1,10,0,0,0,1,,13,,,,0,,,,6,,,2,2,7,,,,,,,1,3,2,,,1,,,,,,,,1,1,1,1,,2,0,,0,0,1.17,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.CrLf.getValues",,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,,,0,,,,4,,,1,2,4,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,1.00,1,1,1,1
Protected Class,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner",3,2,3,1,20,1,13,5,2,5,5,0,,0,6,,,,8,7,8,8,0,0,1,7,,280,,,,40,,,,192,,,56,112,51,,,,,,,87,129,51,,,78,,,,,,,,14,11,18,3,,1,4,,73,58,0.27,25,22,29,10
Class,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine",1,1,1,1,3,0,3,0,1,2,2,0,,0,0,,,,19,5,19,19,0,0,0,19,,87,,,,19,,,,68,,,26,25,0,,,,,,,27,47,25,,,22,,,,,,,,1,1,1,1,,1,0,,78,76,0.00,19,19,19,19
Public Constructor,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.BufferLine",,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,,,,0,,,,7,,,2,4,0,,,,5,1,0,4,5,1,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getChar",,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getColumn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getEol",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getEolLength",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getLineString",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getLookahead",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getNext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getNextChar",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getNextCharInc",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,3,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.getState",,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.incColumn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.length",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.setColumn",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.setLookahead",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.setNext",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.setState",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,0,,,,3,,,1,1,0,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
Public Method,"org.apache.tools.ant.taskdefs.FixCRLF.OneLiner.BufferLine.substring",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,0,,,,3,,,1,1,0,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,0.00,1,1,1,1
