validateConfiguration: SimpleAuthority.java: examples.simple_authentication.src.org.apache.cassandra.auth Diff:28
getLiveSize: DataTracker.java: src.java.org.apache.cassandra.db Diff:15
setIndexType: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:40
deleteFromSchema: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:10
isBootstrapMode: StorageService.java: src.java.org.apache.cassandra.service Diff:109
checkAccess: DropIndexStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:3
validateKeyAlias: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:109
getRecentSSTablesPerReadHistogram: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:108
recover: CommitLog.java: src.java.org.apache.cassandra.db.commitlog Diff:3
getString: JdbcAscii.java: src.java.org.apache.cassandra.cql.jdbc Diff:2
unregister: TokenMetadata.java: src.java.org.apache.cassandra.locator Diff:88
toSchema: CFMetaData.java: src.java.org.apache.cassandra.config Diff:144
getSerializedCachePath: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
unreferenceSSTables: DataTracker.java: src.java.org.apache.cassandra.db Diff:8
thriftify: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:249
prepare: DeleteStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:44
getStreamingSocketTimeout: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
findInnermostThrowable: NodeCmd.java: src.java.org.apache.cassandra.tools Diff:109
addNewSSTablesSize: DataTracker.java: src.java.org.apache.cassandra.db Diff:11
alwaysMatchingBloomFilter: LegacyBloomFilter.java: src.java.org.apache.cassandra.utils Diff:6
getTimestamp: ModificationStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:2
setup: AbstractCassandraDaemon.java: src.java.org.apache.cassandra.service Diff:55
loadSchemas: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:63
removeFromMoving: TokenMetadata.java: src.java.org.apache.cassandra.locator Diff:18
truncate: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:192
getString: SuperColumn.java: src.java.org.apache.cassandra.db Diff:8
errno: CLibrary.java: src.java.org.apache.cassandra.utils Diff:1
initRowCache: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:38
schedule: CassandraServer.java: src.java.org.apache.cassandra.thrift Diff:151
seekTo: SSTableScanner.java: src.java.org.apache.cassandra.io.sstable Diff:2
closeQuietly: FileUtils.java: src.java.org.apache.cassandra.io.util Diff:4
deserialize: RangeSliceCommand.java: src.java.org.apache.cassandra.db Diff:9
getDroppedMessages: OutboundTcpConnection.java: src.java.org.apache.cassandra.net Diff:3
getExpandedSelection: SelectStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:45
internalOpen: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:25
mayThrottle: CompactionController.java: src.java.org.apache.cassandra.db.compaction Diff:14
cleanupOnFailure: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:156
updateEstimatedCompactionsByTasks: SizeTieredCompactionStrategy.java: src.java.org.apache.cassandra.db.compaction Diff:36
prepare: GrantStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:1
tryMlockall: CLibrary.java: src.java.org.apache.cassandra.utils Diff:4
getScanners: AbstractCompactionStrategy.java: src.java.org.apache.cassandra.db.compaction Diff:4
getColumnDefinition: CFMetaData.java: src.java.org.apache.cassandra.config Diff:2
create: CompressionMetadata.java: src.java.org.apache.cassandra.io.compress Diff:3
value: SelectStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:46
reConnect: Ec2MultiRegionSnitch.java: src.java.org.apache.cassandra.locator Diff:9
getString: IntegerType.java: src.java.org.apache.cassandra.db.marshal Diff:7
createSecondaryIndexSearcher: KeysIndex.java: src.java.org.apache.cassandra.db.index.keys Diff:27
toString: FailureDetector.java: src.java.org.apache.cassandra.gms Diff:26
baseFilename: Descriptor.java: src.java.org.apache.cassandra.io.sstable Diff:9
getKeyCacheHits: CacheService.java: src.java.org.apache.cassandra.service Diff:15
create: ConcurrentLinkedHashCache.java: src.java.org.apache.cassandra.cache Diff:1
execute: BatchCommitLogExecutorService.java: src.java.org.apache.cassandra.db.commitlog Diff:9
initLog4j: AbstractCassandraDaemon.java: src.java.org.apache.cassandra.service Diff:3
getWriteResponseHandler: AbstractReplicationStrategy.java: src.java.org.apache.cassandra.locator Diff:10
describe_snitch: CassandraServer.java: src.java.org.apache.cassandra.thrift Diff:146
getBroadcastAddress: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:2
getOpCount: LatencyTracker.java: src.java.org.apache.cassandra.utils Diff:2
decompose: JdbcBoolean.java: src.java.org.apache.cassandra.cql.jdbc Diff:2
encloses: Interval.java: src.java.org.apache.cassandra.utils.IntervalTree Diff:2
main: WordCountSetup.java: examples.hadoop_word_count.src Diff:20
toSchema: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:33
equals: ReplayPosition.java: src.java.org.apache.cassandra.db.commitlog Diff:4
isLatencyForSnitch: AsyncRepairCallback.java: src.java.org.apache.cassandra.service Diff:4
getMessage: IndexScanCommand.java: src.java.org.apache.cassandra.db Diff:4
name: SuperColumn.java: src.java.org.apache.cassandra.db Diff:2
calculateNaturalEndpoints: AbstractReplicationStrategy.java: src.java.org.apache.cassandra.locator Diff:7
getColumnFamily: AbstractSSTableSimpleWriter.java: src.java.org.apache.cassandra.io.sstable Diff:7
serializeRow: SSTableExport.java: src.java.org.apache.cassandra.tools Diff:30
getUnQuotedCqlBlob: Operation.java: tools.stress.src.org.apache.cassandra.stress.util Diff:39
getProgressInterval: Session.java: tools.stress.src.org.apache.cassandra.stress Diff:3
isSetConsistencyLevel: ModificationStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:3
compareEndpoints: AbstractNetworkTopologySnitch.java: src.java.org.apache.cassandra.locator Diff:6
contains: Interval.java: src.java.org.apache.cassandra.utils.IntervalTree Diff:4
runMayThrow: FileStreamTask.java: src.java.org.apache.cassandra.streaming Diff:1
markDead: EndpointState.java: src.java.org.apache.cassandra.gms Diff:1
cloneOnlyTokenMap: TokenMetadata.java: src.java.org.apache.cassandra.locator Diff:22
getWriter: AbstractSSTableSimpleWriter.java: src.java.org.apache.cassandra.io.sstable Diff:1
loadNewSSTables: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:55
requestRanges: StreamIn.java: src.java.org.apache.cassandra.streaming Diff:1
decorate: SystemTable.java: src.java.org.apache.cassandra.db Diff:2
freeze: Memtable.java: src.java.org.apache.cassandra.db Diff:3
streamIn: IncomingStreamReader.java: src.java.org.apache.cassandra.streaming Diff:27
loadFromTable: DefsTable.java: src.java.org.apache.cassandra.db Diff:4
getHashBuckets: LegacyBloomFilter.java: src.java.org.apache.cassandra.utils Diff:8
columnAliasesAsStrings: CFMetaData.java: src.java.org.apache.cassandra.config Diff:141
calculateNaturalEndpoints: OldNetworkTopologyStrategy.java: src.java.org.apache.cassandra.locator Diff:36
getMessage: StreamReply.java: src.java.org.apache.cassandra.streaming Diff:3
deserialize: QueryPath.java: src.java.org.apache.cassandra.db.filter Diff:8
replace: AtomicSortedColumns.java: src.java.org.apache.cassandra.db Diff:5
execute: RevokeStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:1
chunkLength: CompressionMetadata.java: src.java.org.apache.cassandra.io.compress Diff:2
shouldReplicateOnWrite: CounterMutation.java: src.java.org.apache.cassandra.db Diff:8
validateFields: ExpiringColumn.java: src.java.org.apache.cassandra.db Diff:14
export: SSTableExport.java: src.java.org.apache.cassandra.tools Diff:58
getInputKeyspacePassword: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:16
announceNewKeyspace: MigrationManager.java: src.java.org.apache.cassandra.service Diff:13
getAuthenticator: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:62
printHistograms: SSTableMetadataViewer.java: src.java.org.apache.cassandra.tools Diff:4
serializedSize: ColumnFamilySerializer.java: src.java.org.apache.cassandra.db Diff:6
addAllWithSizeDelta: AtomicSortedColumns.java: src.java.org.apache.cassandra.db Diff:2
toString: AlterTableStatement.java: src.java.org.apache.cassandra.cql Diff:20
markDirty: CommitLogSegment.java: src.java.org.apache.cassandra.db.commitlog Diff:2
getPrimaryRangeFor: TokenMetadata.java: src.java.org.apache.cassandra.locator Diff:17
serializeForSSTable: ColumnFamilySerializer.java: src.java.org.apache.cassandra.db Diff:1
addToSchema: SelectStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:64
write: UUIDGen.java: src.java.org.apache.cassandra.utils Diff:2
flushSchemaCF: DefsTable.java: src.java.org.apache.cassandra.db Diff:142
fixCFMaxId: Schema.java: src.java.org.apache.cassandra.config Diff:17
string: ByteBufferUtil.java: src.java.org.apache.cassandra.utils Diff:6
readSimpleColumns: SSTableNamesIterator.java: src.java.org.apache.cassandra.db.columniterator Diff:16
getRequestedBound: SelectStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:32
prepare: ModificationStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:2
withHeaderAdded: Message.java: src.java.org.apache.cassandra.net Diff:2
getMarkedForDeleteAt: ExpiringColumn.java: src.java.org.apache.cassandra.db Diff:14
addDefaultIndexNames: CFMetaData.java: src.java.org.apache.cassandra.config Diff:19
submitCacheWrite: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:137
getNextComparator: AbstractCompositeType.java: src.java.org.apache.cassandra.db.marshal Diff:9
getCachedRowInternal: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:172
listEndpointsPendingHints: HintedHandOffManager.java: src.java.org.apache.cassandra.db Diff:99
startNext: StreamOutSession.java: src.java.org.apache.cassandra.streaming Diff:10
handleMajorStateChange: Gossiper.java: src.java.org.apache.cassandra.gms Diff:154
getRawCachedRow: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:170
getToken: RowPosition.java: src.java.org.apache.cassandra.db Diff:3
getCQLVersion: ClientState.java: src.java.org.apache.cassandra.service Diff:20
getLastMigrationId: MigrationManager.java: src.java.org.apache.cassandra.service Diff:76
collectTimeOrderedData: CollationController.java: src.java.org.apache.cassandra.db Diff:41
bool: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:2
getCurrentPosition: SSTableScanner.java: src.java.org.apache.cassandra.io.sstable Diff:4
close: LazilyCompactedRow.java: src.java.org.apache.cassandra.db.compaction Diff:18
constructEndpointToRangeMap: StorageService.java: src.java.org.apache.cassandra.service Diff:160
bytes: ByteBufferUtil.java: src.java.org.apache.cassandra.utils Diff:14
fixSchemaNanoTimestamp: DefsTable.java: src.java.org.apache.cassandra.db Diff:11
getSerializedBuffer: RowMutation.java: src.java.org.apache.cassandra.db Diff:33
getDouble: PropertyDefinitions.java: src.java.org.apache.cassandra.cql3 Diff:4
getfd: CLibrary.java: src.java.org.apache.cassandra.utils Diff:7
validateSchemaAgreement: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:111
getMutations: ModificationStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:2
unregisterMBean: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:11
toString: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:188
validateKey: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:107
shutdown: PeriodicCommitLogExecutorService.java: src.java.org.apache.cassandra.db.commitlog Diff:6
schemaCFS: SystemTable.java: src.java.org.apache.cassandra.db Diff:168
compareSubArrays: ByteBufferUtil.java: src.java.org.apache.cassandra.utils Diff:44
createCompactionWriter: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:204
snapshot: Table.java: src.java.org.apache.cassandra.db Diff:6
validateCompactionThresholds: CFMetaData.java: src.java.org.apache.cassandra.config Diff:40
getDeletionInfo: AtomicSortedColumns.java: src.java.org.apache.cassandra.db Diff:3
requestRanges: StorageService.java: src.java.org.apache.cassandra.service Diff:554
addSSTable: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:105
resetLocalSchema: MigrationManager.java: src.java.org.apache.cassandra.service Diff:65
token: Util.java: test.unit.org.apache.cassandra Diff:13
printHelpMessage: Stress.java: tools.stress.src.org.apache.cassandra.stress Diff:11
enumeratekeys: SSTableExport.java: src.java.org.apache.cassandra.tools Diff:36
toString: SliceByNamesReadCommand.java: src.java.org.apache.cassandra.db Diff:7
slicePredicateFromSelect: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:81
doVerb: RangeSliceVerbHandler.java: src.java.org.apache.cassandra.service Diff:14
submitMaximal: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:24
partialCompactionsAcceptable: LeveledCompactionTask.java: src.java.org.apache.cassandra.db.compaction Diff:1
announceColumnFamilyUpdate: MigrationManager.java: src.java.org.apache.cassandra.service Diff:24
serializationFlags: DeletedColumn.java: src.java.org.apache.cassandra.db Diff:5
getReduceCacheSizesAt: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
testMetadata: KSMetaData.java: src.java.org.apache.cassandra.config Diff:1
main: ClientOnlyExample.java: examples.client_only.src Diff:18
reverseIterator: TreeMapBackedSortedColumns.java: src.java.org.apache.cassandra.db Diff:17
isKeyRange: WhereClause.java: src.java.org.apache.cassandra.cql Diff:2
getTotalLatencyMicros: LatencyTracker.java: src.java.org.apache.cassandra.utils Diff:3
mutate: StorageProxy.java: src.java.org.apache.cassandra.service Diff:16
truncate: StorageService.java: src.java.org.apache.cassandra.service Diff:474
newSince: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:125
isCQL: Session.java: tools.stress.src.org.apache.cassandra.stress Diff:3
getRangeFetchMap: RangeStreamer.java: src.java.org.apache.cassandra.dht Diff:26
fromString: LongType.java: src.java.org.apache.cassandra.db.marshal Diff:3
getSavedCachesLocation: StorageService.java: src.java.org.apache.cassandra.service Diff:307
read: RangeSliceCommand.java: src.java.org.apache.cassandra.db Diff:2
getInt: PropertyDefinitions.java: src.java.org.apache.cassandra.cql3 Diff:2
validateMutation: ThriftValidation.java: src.java.org.apache.cassandra.thrift Diff:10
hashCode: NodeId.java: src.java.org.apache.cassandra.utils Diff:3
guidAsBytes: GuidGenerator.java: src.java.org.apache.cassandra.utils Diff:17
readChunkOffsets: CompressionMetadata.java: src.java.org.apache.cassandra.io.compress Diff:5
getKeyComparatorForCF: CliClient.java: src.java.org.apache.cassandra.cli Diff:228
preservesOrder: OrderPreservingPartitioner.java: src.java.org.apache.cassandra.dht Diff:4
isLocalTask: StreamingRepairTask.java: src.java.org.apache.cassandra.streaming Diff:6
iterator: ArrayBackedSortedColumns.java: src.java.org.apache.cassandra.db Diff:16
sentenceData: WordCountSetup.java: examples.hadoop_word_count.src Diff:43
compare: CounterColumnType.java: src.java.org.apache.cassandra.db.marshal Diff:1
getOutputFormat: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:114
removeEndpoint: Gossiper.java: src.java.org.apache.cassandra.gms Diff:26
hash: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:12
search: SecondaryIndexManager.java: src.java.org.apache.cassandra.db.index Diff:85
sstablesRewrite: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:111
writeMutations: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:156
performScrub: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:18
decompose: UUIDType.java: src.java.org.apache.cassandra.db.marshal Diff:21
startBroadcasting: LoadBroadcaster.java: src.java.org.apache.cassandra.service Diff:7
revokePermission: ClientState.java: src.java.org.apache.cassandra.service Diff:24
collateColumns: QueryFilter.java: src.java.org.apache.cassandra.db.filter Diff:15
tryFcntl: CLibrary.java: src.java.org.apache.cassandra.utils Diff:6
setStoreLocation: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:113
registerDaemon: StorageService.java: src.java.org.apache.cassandra.service Diff:3
sendToOtherReplica: CounterColumn.java: src.java.org.apache.cassandra.db Diff:53
validate: DateType.java: src.java.org.apache.cassandra.db.marshal Diff:1
serialize: ColumnSerializer.java: src.java.org.apache.cassandra.db Diff:10
getSnapshotDirectory: Directories.java: src.java.org.apache.cassandra.db Diff:4
getValidatorForValue: CliClient.java: src.java.org.apache.cassandra.cli Diff:207
reload: SecondaryIndexManager.java: src.java.org.apache.cassandra.db.index Diff:5
executeList: CliClient.java: src.java.org.apache.cassandra.cli Diff:38
uncompressedLength: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:112
stopServer: AbstractCassandraDaemon.java: src.java.org.apache.cassandra.service Diff:51
joinSelector: CustomTHsHaServer.java: src.java.org.apache.cassandra.thrift Diff:2
waitForActiveFlushes: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:185
filterCipherSuites: SSLFactory.java: src.java.org.apache.cassandra.security Diff:11
getInputKeyspace: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:13
setRowCacheCapacityInMB: CacheService.java: src.java.org.apache.cassandra.service Diff:27
markCompacted: DataTracker.java: src.java.org.apache.cassandra.db Diff:15
getLengthInBytes: SSTableScanner.java: src.java.org.apache.cassandra.io.sstable Diff:3
forceTableRepair: StorageService.java: src.java.org.apache.cassandra.service Diff:341
getAndAppendNextComparator: CompositeType.java: src.java.org.apache.cassandra.db.marshal Diff:6
getPhiConvictThreshold: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:75
toString: CFPropDefs.java: src.java.org.apache.cassandra.cql Diff:16
createAuthenticatedClient: ColumnFamilyOutputFormat.java: src.java.org.apache.cassandra.hadoop Diff:14
components: SSTableWriter.java: src.java.org.apache.cassandra.io.sstable Diff:4
getColumnFamily: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:117
announceMigration: DropKeyspaceStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:3
total: CounterContext.java: src.java.org.apache.cassandra.db.context Diff:21
getSortedColumns: ThreadSafeSortedColumns.java: src.java.org.apache.cassandra.db Diff:11
logDistribution: LeveledManifest.java: src.java.org.apache.cassandra.db.compaction Diff:16
setInputInitialAddress: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:29
sendOneWay: MessagingService.java: src.java.org.apache.cassandra.net Diff:21
string: ByteBufferUtil.java: src.java.org.apache.cassandra.utils Diff:5
main: PureRandom.java: src.java.org.apache.cassandra.gms Diff:4
relToAbsPathForStoreLocation: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:112
announce: MigrationManager.java: src.java.org.apache.cassandra.service Diff:28
validateKeyspaceNotYetExisting: ThriftValidation.java: src.java.org.apache.cassandra.thrift Diff:34
getStreamSources: StreamingService.java: src.java.org.apache.cassandra.streaming Diff:12
finishStreamRequest: StreamUtil.java: test.unit.org.apache.cassandra.streaming Diff:5
getColumnName: CliClient.java: src.java.org.apache.cassandra.cli Diff:228
main: Stress.java: tools.stress.src.org.apache.cassandra.stress Diff:10
getEndpointSnitch: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:67
openTransport: TFramedTransportFactory.java: src.java.org.apache.cassandra.thrift Diff:1
shutdownBlocking: ExpiringMap.java: src.java.org.apache.cassandra.utils Diff:2
poll: WeightedQueue.java: src.java.org.apache.cassandra.scheduler Diff:1
validateColumnPathOrParent: ThriftValidation.java: src.java.org.apache.cassandra.thrift Diff:9
decompose: UUIDGen.java: src.java.org.apache.cassandra.utils Diff:2
getValidTable: StorageService.java: src.java.org.apache.cassandra.service Diff:316
cancel: LeveledCompactionTask.java: src.java.org.apache.cassandra.db.compaction Diff:1
acquireReference: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:113
iterators: MergeIterator.java: src.java.org.apache.cassandra.utils Diff:1
fromSchema: KSMetaData.java: src.java.org.apache.cassandra.config Diff:39
getColumnNames: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:17
superCFMD: SchemaLoader.java: test.unit.org.apache.cassandra Diff:8
getMeanColumns: DataTracker.java: src.java.org.apache.cassandra.db Diff:21
getCFColumnMetaFromTree: CliClient.java: src.java.org.apache.cassandra.cli Diff:214
response: ReadCallback.java: src.java.org.apache.cassandra.service Diff:23
expectException: Util.java: test.unit.org.apache.cassandra Diff:48
getKeyCacheCapacityInMB: CacheService.java: src.java.org.apache.cassandra.service Diff:27
getColumnFamily: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:119
doVerb: GossipDigestSynVerbHandler.java: src.java.org.apache.cassandra.gms Diff:19
serialize: QueryPath.java: src.java.org.apache.cassandra.db.filter Diff:4
putNext: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:135
getKeys: WhereClause.java: src.java.org.apache.cassandra.cql Diff:2
keyToTuple: CassandraStorage.java: src.java.org.apache.cassandra.hadoop.pig Diff:33
getRow: SliceByNamesReadCommand.java: src.java.org.apache.cassandra.db Diff:4
deleteFromIndexes: SecondaryIndexManager.java: src.java.org.apache.cassandra.db.index Diff:75
getResponsePendingTasks: MessagingService.java: src.java.org.apache.cassandra.net Diff:81
advertiseRemoving: Gossiper.java: src.java.org.apache.cassandra.gms Diff:45
getInstance: ReversedType.java: src.java.org.apache.cassandra.db.marshal Diff:5
announceKeyspaceDrop: MigrationManager.java: src.java.org.apache.cassandra.service Diff:26
getInstance: CompositeType.java: src.java.org.apache.cassandra.db.marshal Diff:3
close: AbstractStreamSession.java: src.java.org.apache.cassandra.streaming Diff:4
getNewSourceRanges: StorageService.java: src.java.org.apache.cassandra.service Diff:243
onAlive: AbstractStreamSession.java: src.java.org.apache.cassandra.streaming Diff:4
min: EstimatedHistogram.java: src.java.org.apache.cassandra.utils Diff:3
computeOldShardMerger: CounterColumn.java: src.java.org.apache.cassandra.db Diff:40
validateNextComparator: CompositeType.java: src.java.org.apache.cassandra.db.marshal Diff:9
getBootstrapTokenFrom: BootStrapper.java: src.java.org.apache.cassandra.dht Diff:45
validateCommutativeForWrite: ThriftValidation.java: src.java.org.apache.cassandra.thrift Diff:33
getScanners: AbstractCompactionStrategy.java: src.java.org.apache.cassandra.db.compaction Diff:3
subColumnNameAsBytes: CliClient.java: src.java.org.apache.cassandra.cli Diff:207
markSuspect: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:125
getTruePositiveCount: BloomFilterTracker.java: src.java.org.apache.cassandra.io.sstable Diff:1
getEstimatedRowSizeHistogram: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:196
getMaximumCompactionThreshold: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:197
getBytes: Util.java: test.unit.org.apache.cassandra Diff:10
addEntry: IndexSummary.java: src.java.org.apache.cassandra.io.sstable Diff:4
getKeyCacheCapacityInBytes: CacheService.java: src.java.org.apache.cassandra.service Diff:28
disconnect: OutboundTcpConnection.java: src.java.org.apache.cassandra.net Diff:14
setInputRpcPort: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:27
getFileDataInput: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:125
insertColumn: KeysIndex.java: src.java.org.apache.cassandra.db.index.keys Diff:30
unmarkCompacting: DataTracker.java: src.java.org.apache.cassandra.db Diff:17
respond: AntiEntropyService.java: src.java.org.apache.cassandra.service Diff:28
makeReplicationMutation: CounterMutation.java: src.java.org.apache.cassandra.db Diff:2
fromThrift: KSMetaData.java: src.java.org.apache.cassandra.config Diff:10
isEmpty: ThriftValidation.java: src.java.org.apache.cassandra.thrift Diff:21
resolve: RowDigestResolver.java: src.java.org.apache.cassandra.service Diff:17
insertData: SchemaLoader.java: test.unit.org.apache.cassandra Diff:21
getFiles: StreamOutSession.java: src.java.org.apache.cassandra.streaming Diff:16
makeStatementId: QueryProcessor.java: src.java.org.apache.cassandra.cql Diff:241
resolve: Memtable.java: src.java.org.apache.cassandra.db Diff:27
getOutputCompressionParamaters: ConfigHelper.java: src.java.org.apache.cassandra.hadoop Diff:43
getRpcKeepAlive: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
orderResults: SelectStatement.java: src.java.org.apache.cassandra.cql3.statements Diff:117
removeOldShards: CounterContext.java: src.java.org.apache.cassandra.db.context Diff:53
create: ExtendedFilter.java: src.java.org.apache.cassandra.db.filter Diff:1
isCleanerAvailable: FileUtils.java: src.java.org.apache.cassandra.io.util Diff:4
write: OutboundTcpConnection.java: src.java.org.apache.cassandra.net Diff:9
getMaxHintsInProgress: StorageProxy.java: src.java.org.apache.cassandra.service Diff:300
reduceKeyCacheSize: CacheService.java: src.java.org.apache.cassandra.service Diff:30
updateKeyspace: DefsTable.java: src.java.org.apache.cassandra.db Diff:98
getPendingRangeToEndpointMap: StorageService.java: src.java.org.apache.cassandra.service Diff:132
submitUserDefined: CompactionManager.java: src.java.org.apache.cassandra.db.compaction Diff:44
fromString: CounterColumnType.java: src.java.org.apache.cassandra.db.marshal Diff:3
getUnreachableNodes: StorageService.java: src.java.org.apache.cassandra.service Diff:314
createDirectory: FileUtils.java: src.java.org.apache.cassandra.io.util Diff:5
getMeanColumns: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:7
getMemtableSwitchCount: ColumnFamilyStore.java: src.java.org.apache.cassandra.db Diff:108
maxBytesForLevel: LeveledManifest.java: src.java.org.apache.cassandra.db.compaction Diff:8
createLinks: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:130
writeAttr: CliClient.java: src.java.org.apache.cassandra.cli Diff:139
addRanges: RangeStreamer.java: src.java.org.apache.cassandra.dht Diff:8
toString: DeleteStatement.java: src.java.org.apache.cassandra.cql Diff:14
stopGossiper: SchemaLoader.java: test.unit.org.apache.cassandra Diff:2
shutdown: BatchCommitLogExecutorService.java: src.java.org.apache.cassandra.db.commitlog Diff:15
getComparator: CFPropDefs.java: src.java.org.apache.cassandra.cql Diff:14
getComparator: ThreadSafeSortedColumns.java: src.java.org.apache.cassandra.db Diff:1
sendBackToL0: LeveledManifest.java: src.java.org.apache.cassandra.db.compaction Diff:4
open: SSTableReader.java: src.java.org.apache.cassandra.io.sstable Diff:9
equals: KeyCacheKey.java: src.java.org.apache.cassandra.cache Diff:3
getKeyType: UpdateStatement.java: src.java.org.apache.cassandra.cql Diff:30
getAuthority: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:62
getIndexInterval: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:74
remove_counter: CassandraServer.java: src.java.org.apache.cassandra.thrift Diff:212
getEndpoint: RingCache.java: src.java.org.apache.cassandra.client Diff:11
unchecked: FBUtilities.java: src.java.org.apache.cassandra.utils Diff:40
getSchedulingValue: ClientState.java: src.java.org.apache.cassandra.service Diff:2
toString: AbstractCompactionTask.java: src.java.org.apache.cassandra.db.compaction Diff:5
updateToken: SystemTable.java: src.java.org.apache.cassandra.db Diff:64
newRow: AbstractSSTableSimpleWriter.java: src.java.org.apache.cassandra.io.sstable Diff:7
retainAll: AbstractThreadUnsafeSortedColumns.java: src.java.org.apache.cassandra.db Diff:21
getPathInfo: RowCacheKey.java: src.java.org.apache.cassandra.cache Diff:2
closeInternal: StreamInSession.java: src.java.org.apache.cassandra.streaming Diff:75
toString: CFDefinition.java: src.java.org.apache.cassandra.cql3 Diff:22
overrideDataDirectoriesForTest: Directories.java: src.java.org.apache.cassandra.db Diff:19
getRecentLatencyMicros: LatencyTracker.java: src.java.org.apache.cassandra.utils Diff:5
getAllDataFileLocations: DatabaseDescriptor.java: src.java.org.apache.cassandra.config Diff:75
writeConnected: OutboundTcpConnection.java: src.java.org.apache.cassandra.net Diff:6
isPresent: LegacyBloomFilter.java: src.java.org.apache.cassandra.utils Diff:6
isLive: SuperColumn.java: src.java.org.apache.cassandra.db Diff:8
toString: ColumnDefinition.java: src.java.org.apache.cassandra.config Diff:40
stop: CassandraDaemon.java: src.java.org.apache.cassandra.thrift Diff:2
