ServerConnection.java: org.apache.qpid.server.transport	Connection.java: org.apache.qpid.jms	
CombinedTest.java: org.apache.qpid.test.unit.client.forwardall	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
SpecialQueue.java: org.apache.qpid.test.unit.client.forwardall	AMQQueue.java: org.apache.qpid.server.queue	
ObjectMessageTest.java: org.apache.qpid.test.unit.client.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AMQProtocolSessionTest.java: org.apache.qpid.test.unit.client.protocol	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TemporaryQueueTest.java: org.apache.qpid.test.unit.client.temporaryqueue	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
MessageRequeueTest.java: org.apache.qpid.test.unit.close	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TopicPublisherCloseTest.java: org.apache.qpid.test.unit.close	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
JavaServerCloseRaceConditionTest.java: org.apache.qpid.test.unit.close	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
CloseBeforeAckTest.java: org.apache.qpid.test.unit.close	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
DurableSubscriberTest.java: org.apache.qpid.test.unit.ct	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
StreamMessageTest.java: org.apache.qpid.test.unit.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
JMSPropertiesTest.java: org.apache.qpid.test.unit.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
UTF8Test.java: org.apache.qpid.test.unit.message	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
DirtyTransactedPublishTest.java: org.apache.qpid.test.unit.publish	FailoverBaseCase.java: org.apache.qpid.test.utils	
TopicSessionTest.java: org.apache.qpid.test.unit.topic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TopicPublisherTest.java: org.apache.qpid.test.unit.topic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
DurableSubscriptionTest.java: org.apache.qpid.test.unit.topic	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
CommitRollbackTest.java: org.apache.qpid.test.unit.transacted	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
TransactedTest.java: org.apache.qpid.test.unit.transacted	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
AbstractXATestCase.java: org.apache.qpid.test.unit.xa	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
QpidBrokerTestCase.java: org.apache.qpid.test.utils	QpidTestCase.java: org.apache.qpid.test.utils	
QpidClientConnection.java: org.apache.qpid.test.utils	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
FailoverBaseCase.java: org.apache.qpid.test.utils	QpidBrokerTestCase.java: org.apache.qpid.test.utils	
ResourceLeakTest.java: org.apache.qpid.testkit.soak	TestLauncher.java: org.apache.qpid.testkit	
PerfConsumer.java: org.apache.qpid.tools	PerfBase.java: org.apache.qpid.tools	
LatencyTest.java: org.apache.qpid.tools	PerfBase.java: org.apache.qpid.tools	
PerfProducer.java: org.apache.qpid.tools	PerfBase.java: org.apache.qpid.tools	
